sentence1,sentence2,similarity_score,b_sentence1,b_sentence2,p_sentence1,p_sentence2,sts_ft_score,b_ft_score,p_sts_ft_score
"If you don't want to pay for Adobe Acrobat Pro, as @schultem mentions, LaTeX can do this with embedded hyperlinks.","If you don't mind hosting your files online, SlideShare is a good solution.",0.8,if you don t want to pay for adobe acrobat pro as schultem mentions latex can do this with embedded hyperlinks,if you don t mind hosting your files online slideshare is a good solution,want pay adobe acrobat pro schultem mentions latex embedded hyperlinks,mind hosting files online slideshare good solution,0.81,0.85,0.54
I don't think there are likely to be any standards that address this issue specifically.,"You're going to find answers all over the map for this one (i.e., there probably aren't ""standards"").",2.4,i don t think there are likely to be any standards that address this issue specifically,you re going to find answers all over the map for this one i e there probably aren t standards,think likely standards address issue specifically,going find answers map one e probably standards,0.86,0.91,0.7
My answer would be depending on which GRE are you referring to?,The problem I see with the GREs is that the scoring range is highly compressed.,1.0,my answer would be depending on which gre are you referring to,the problem i see with the gres is that the scoring range is highly compressed,answer would depending gre referring,problem see gres scoring range highly compressed,0.77,0.77,0.54
"If you have access to it, you can very easily do that with Thomson Reuters’ Web of Science portal.","You can have a look at the arXiv cultoromics website at http://arxiv.culturomics.org, which however searches in articles on the arXiv.",0.2,if you have access to it you can very easily do that with thomson reuters web of science portal,you can have a look at the arxiv cultoromics website at which however searches in articles on the arxiv,access easily thomson reuters web science portal,look arxiv cultoromics website however searches articles arxiv,0.81,0.84,0.57
In general there are a number of different distinct workflows that lead to a poster.,"For completeness, Apple's Pages has quite a few nice poster layouts.",0.6,in general there are a number of different distinct workflows that lead to a poster,for completeness apple s pages has quite a few nice poster layouts,general number different distinct workflows lead poster,completeness apple pages quite nice poster layouts,0.71,0.76,0.56
It is perfectly okay to ask for the figure knowing well that the other person may not give.,"You can always ask, then it is the choice of the author to accept or not.",3.6,it is perfectly okay to ask for the figure knowing well that the other person may not give,you can always ask then it is the choice of the author to accept or not,perfectly okay ask figure knowing well person may give,always ask choice author accept,0.91,0.93,0.74
The academic year does start around September in the USA and I think most European countries.,"I would not accelerate things, to avoid getting worse grades that you want.",0.2,the academic year does start around september in the usa and i think most european countries,i would not accelerate things to avoid getting worse grades that you want,academic year start around september usa think european countries,would accelerate things avoid getting worse grades want,0.68,0.71,0.51
I will advise exactly the contrary of what bravo just said in another answer : go for A !,"You could defer admission, but it's a little unusual to defer for a year.",0.2,i will advise exactly the contrary of what bravo just said in another answer go for a,you could defer admission but it s a little unusual to defer for a year,advise exactly contrary bravo said another answer go,could defer admission little unusual defer year,0.8,0.86,0.63
"Edit, again: The question seems to have changed, yet again.",I can think of three reasons why a faculty member might reveal how a student performed on a qualifying examination.,0.0,edit again the question seems to have changed yet again,i can think of three reasons why a faculty member might reveal how a student performed on a qualifying examination,edit question seems changed yet,think three reasons faculty member might reveal student performed qualifying examination,0.68,0.71,0.51
"I agree with Seteropere completely, ""Network Science"" is a very broad subject.",I would say you are approaching it in the wrong way.,0.0,i agree with seteropere completely network science is a very broad subject,i would say you are approaching it in the wrong way,agree seteropere completely network science broad subject,would say approaching wrong way,0.7,0.72,0.47
Supporting an ideology in an ostentatious manner (rather than privately or discreetly) is a personality problem.,I think for an appropriate answer I'd need to know exactly what the 'bad' ideology is.,1.2,supporting an ideology in an ostentatious manner rather than privately or discreetly is a personality problem,i think for an appropriate answer i d need to know exactly what the bad ideology is,supporting ideology ostentatious manner rather privately discreetly personality problem,think appropriate answer need know exactly bad ideology,0.7,0.71,0.56
"This does not fully answer your question, but it is certainly one consideration.","I am a PhD student in Computational Science, which is an interdisciplinary major spanning mathematics, computer science, and engineerning.",0.0,this does not fully answer your question but it is certainly one consideration,i am a phd student in computational science which is an interdisciplinary major spanning mathematics computer science and engineerning,fully answer question certainly one consideration,phd student computational science interdisciplinary major spanning mathematics computer science engineerning,0.65,0.59,0.29
A few possible problems: 1) Such an ID system seems a little intrusive.,"In mathematics, we already have a database of this sort - two them, in fact, with in MathSciNet and Zentralblatt MATH.",0.4,a few possible problems such an id system seems a little intrusive,in mathematics we already have a database of this sort two them in fact with in mathscinet and zentralblatt math,possible problems id system seems little intrusive,mathematics already database sort two fact mathscinet zentralblatt math,0.69,0.74,0.55
"As an complement to the other answers, let me address the question of why planets tend towards tidal locking.",The other answers here are fantastic at explaining in a technical sense.,0.4,as an complement to the other answers let me address the question of why planets tend towards tidal locking,the other answers here are fantastic at explaining in a technical sense,complement answers let address question planets tend towards tidal locking,answers fantastic explaining technical sense,0.78,0.83,0.58
"Stars are rotating, but that's not the cause for their stability.",Stars rotate due to the angular momentum of the gas they formed from.,3.0,stars are rotating but that s not the cause for their stability,stars rotate due to the angular momentum of the gas they formed from,stars rotating cause stability,stars rotate due angular momentum gas formed,0.76,0.81,0.7
It indeed appears the Andromeda galaxy (M31) and The Milky Way (MW) are en route to a collision.,"In a few billion years, the Milky Way and Andromeda will collide.",4.4,it indeed appears the andromeda galaxy m and the milky way mw are en route to a collision,in a few billion years the milky way and andromeda will collide,indeed appears andromeda galaxy milky way mw en route collision,billion years milky way andromeda collide,0.84,0.86,0.7
"The short answer is: we are made from the ""stuff"" contributed by many stars.",It is highly unlikely that we're made out of stuff from only one star.,3.2,the short answer is we are made from the stuff contributed by many stars,it is highly unlikely that we re made out of stuff from only one star,short answer made stuff contributed many stars,highly unlikely made stuff one star,0.81,0.88,0.73
All we know is this : Distant objects are receding from us at a rate proportional to their distance from us.,The expansion of space means that objects in cosmological distances are receding away from each other.,3.4,all we know is this distant objects are receding from us at a rate proportional to their distance from us,the expansion of space means that objects in cosmological distances are receding away from each other,know distant objects receding us rate proportional distance us,expansion space means objects cosmological distances receding away,0.84,0.85,0.7
"Like Chris said above, stars rotate to conserve their angular momentum.","Stars are rotating, but that's not the cause for their stability.",3.4,like chris said above stars rotate to conserve their angular momentum,stars are rotating but that s not the cause for their stability,like chris said stars rotate conserve angular momentum,stars rotating cause stability,0.66,0.76,0.62
According to this website the peak visible magnitude will be about 10.5 around February 2nd.,"The AAVSO data seems to indicate that it might have already peaked, at around 10.5 (visual).",3.6,according to this website the peak visible magnitude will be about around february nd,the aavso data seems to indicate that it might have already peaked at around visual,according website peak visible magnitude around february nd,aavso data seems indicate might already peaked around visual,0.84,0.84,0.61
All of these effects are related to the 11 year solar cycle.,I will be specific to answering the part regarding the prediction of solar flares.,0.8,all of these effects are related to the year solar cycle,i will be specific to answering the part regarding the prediction of solar flares,effects related year solar cycle,specific answering part regarding prediction solar flares,0.82,0.84,0.62
"We are moving ""... relative to the comoving cosmic rest frame ... at some 371 km/s towards the constellation Leo"".",There is no 'still' that is not relative to some other object.,0.8,we are moving relative to the comoving cosmic rest frame at some km s towards the constellation leo,there is no still that is not relative to some other object,moving relative comoving cosmic rest frame km towards constellation leo,still relative object,0.73,0.76,0.59
"Yes, it's true that the apparent size of the Moon is 30 arcmin.","When you gaze at the moon ""live"", you are not seeing a still image.",1.0,yes it s true that the apparent size of the moon is arcmin,when you gaze at the moon live you are not seeing a still image,yes true apparent size moon arcmin,gaze moon live seeing still image,0.74,0.79,0.6
Let us assume the data for a globular cluster to be equivalent to that of M13.,Globular clusters occupy an interesting place in the spectrum of composite stellar systems.,1.6,let us assume the data for a globular cluster to be equivalent to that of m,globular clusters occupy an interesting place in the spectrum of composite stellar systems,let us assume data globular cluster equivalent,globular clusters occupy interesting place spectrum composite stellar systems,0.75,0.75,0.66
"Why is the speed of light 299,792,458 m/s, and not (for instance) 3,1 or 4,3 x 10^44 m/s?",Speed of light being finite is one of the fundamentals of our Universe.,1.0,why is the speed of light m s and not for instance or x m s,speed of light being finite is one of the fundamentals of our universe,speed light instance x,speed light finite one fundamentals universe,0.76,0.76,0.66
"As per your definition, a star formed in a binary system (hence near some gravitating body) is a generalised planet.","The main flaw with your definition of a ""generalised planet"" would be the boundary between stars and planets.",3.2,as per your definition a star formed in a binary system hence near some gravitating body is a generalised planet,the main flaw with your definition of a generalised planet would be the boundary between stars and planets,per definition star formed binary system hence near gravitating body generalised planet,main flaw definition generalised planet would boundary stars planets,0.83,0.87,0.8
A method used to calculate the distance between stars is 3 Dimensional trigonometry.,You only need two-dimensional trigonometry if you know the distances to the two stars and their angular separation.,2.0,a method used to calculate the distance between stars is dimensional trigonometry,you only need two dimensional trigonometry if you know the distances to the two stars and their angular separation,method used calculate distance stars dimensional trigonometry,need two dimensional trigonometry know distances two stars angular separation,0.78,0.81,0.73
"The farther away, the faster the galaxies move away from us.",Here is my answer to a similar question posted on the physics stack exchange website.,0.0,the farther away the faster the galaxies move away from us,here is my answer to a similar question posted on the physics stack exchange website,farther away faster galaxies move away us,answer similar question posted physics stack exchange website,0.62,0.62,0.31
"Stars form in star-formation regions, which itself develop from molecular clouds.",It may be possible for a solar system like ours to exist outside of a galaxy.,0.6,stars form in star formation regions which itself develop from molecular clouds,it may be possible for a solar system like ours to exist outside of a galaxy,stars form star formation regions develop molecular clouds,may possible solar system like exist outside galaxy,0.64,0.64,0.55
"A black hole (briefly), is nothing more than a dead star whose mass was more than 3 solar masses.","I think you mean to ask, ""What is the local sidereal time of Greenwhich?"".",0.0,a black hole briefly is nothing more than a dead star whose mass was more than solar masses,i think you mean to ask what is the local sidereal time of greenwhich,black hole briefly nothing dead star whose mass solar masses,think mean ask local sidereal time greenwhich,0.64,0.67,0.47
"Yes, but it does not stay in the same constellation.",Constellations are human constructs to make sense of the night sky.,1.4,yes but it does not stay in the same constellation,constellations are human constructs to make sense of the night sky,yes stay constellation,constellations human constructs make sense night sky,0.74,0.75,0.57
Asteroids are what are called minor planets - small inner solar system rocky bodies.,The objects you are refering to are actually two different objects: asteroids and comets.,2.0,asteroids are what are called minor planets small inner solar system rocky bodies,the objects you are refering to are actually two different objects asteroids and comets,asteroids called minor planets small inner solar system rocky bodies,objects refering actually two different objects asteroids comets,0.78,0.8,0.66
Here is a lexical decision task I wrote years ago using PHP and Javascript (github link).,"Just for reference, I ended up writing simple web-based lexical decision task software myself.",2.6,here is a lexical decision task i wrote years ago using php and javascript github link,just for reference i ended up writing simple web based lexical decision task software myself,lexical decision task wrote years ago using php javascript github link,reference ended writing simple web based lexical decision task software,0.8,0.82,0.73
It's pretty difficult to imagine a person with Social Anxiety Disorder being an extrovert.,"On the surface, it does seem like social anxiety disorder and extroversion shouldn't both exist in the same person.",4.2,it s pretty difficult to imagine a person with social anxiety disorder being an extrovert,on the surface it does seem like social anxiety disorder and extroversion shouldn t both exist in the same person,pretty difficult imagine person social anxiety disorder extrovert,surface seem like social anxiety disorder extroversion exist person,0.81,0.85,0.85
"It is hard to delineate emotion completely from thoughts or sensations, because emotion can contain both.","Technically speaking, an emotion is not different from thought the way it is processed in brain, both involve neurotransmitters.",2.8,it is hard to delineate emotion completely from thoughts or sensations because emotion can contain both,technically speaking an emotion is not different from thought the way it is processed in brain both involve neurotransmitters,hard delineate emotion completely thoughts sensations emotion contain,technically speaking emotion different thought way processed brain involve neurotransmitters,0.86,0.88,0.73
I've found an additional concept that may be related to the original question: prototype theory.,"According to current models of human concept learning, the answer to your question is both.",0.0,i ve found an additional concept that may be related to the original question prototype theory,according to current models of human concept learning the answer to your question is both,found additional concept may related original question prototype theory,according current models human concept learning answer question,0.83,0.84,0.75
"There are individuals who possess extraordinary memory ability, sometimes called eidetic memory.",There are many arguments for why this is not the case.,0.0,there are individuals who possess extraordinary memory ability sometimes called eidetic memory,there are many arguments for why this is not the case,individuals possess extraordinary memory ability sometimes called eidetic memory,many arguments case,0.67,0.67,0.38
"Spike trigger is a specific type or you could say a sub-set of reverse correlations, covariance and probabilities.","There's the naïve version of spike triggered averaging, and the sophisticated version.",2.0,spike trigger is a specific type or you could say a sub set of reverse correlations covariance and probabilities,there s the na ve version of spike triggered averaging and the sophisticated version,spike trigger specific type could say sub set reverse correlations covariance probabilities,na version spike triggered averaging sophisticated version,0.75,0.78,0.53
"As mentioned in the other comments, ANOVA is problematic when mixing types of predictor variables.",I like to think of multitasking as rapid task switching.,0.0,as mentioned in the other comments anova is problematic when mixing types of predictor variables,i like to think of multitasking as rapid task switching,mentioned comments anova problematic mixing types predictor variables,like think multitasking rapid task switching,0.72,0.74,0.48
Q: What is the reason for people to implicitly trust their peers in extreme (or not) situations?,One human-being reliance on other(s) awareness is defined by the level of trust between the humans.,2.6,q what is the reason for people to implicitly trust their peers in extreme or not situations,one human being reliance on other s awareness is defined by the level of trust between the humans,q reason people implicitly trust peers extreme situations,one human reliance awareness defined level trust humans,0.81,0.85,0.67
Intrinsic reward is the emotional pay-off that you get by completing an activity.,"According to Frederick Herzberg's two-factor theory of motivation, intrinsic rewards are motivators (e.g.",2.6,intrinsic reward is the emotional pay off that you get by completing an activity,according to frederick herzberg s two factor theory of motivation intrinsic rewards are motivators e g,intrinsic reward emotional pay get completing activity,according frederick herzberg two factor theory motivation intrinsic rewards motivators e g,0.67,0.72,0.59
Presumably the decision of drivers to slow down in response to work zone signage is influenced by many factors.,"This short talk deals with issues of ""cheating slightly"" :Dan Ariely: Our buggy moral code.",0.0,presumably the decision of drivers to slow down in response to work zone signage is influenced by many factors,this short talk deals with issues of cheating slightly dan ariely our buggy moral code,presumably decision drivers slow response work zone signage influenced many factors,short talk deals issues cheating slightly dan ariely buggy moral code,0.64,0.69,0.51
"When studying adult IQ, general adult norms are often used.","Basically, what you do is you compare each age group IQ to the standardization sample.",2.6,when studying adult iq general adult norms are often used,basically what you do is you compare each age group iq to the standardization sample,studying adult iq general adult norms often used,basically compare age group iq standardization sample,0.63,0.69,0.63
"Some ancient historical precedent exists for preferring $10$, but also for $6$, so that's mixed support from Wikipedia on perfect numbers.","This is indeed possible, but I haven't seen it done experimentally for reasons other than feasibility.",0.0,some ancient historical precedent exists for preferring but also for so that s mixed support from wikipedia on perfect numbers,this is indeed possible but i haven t seen it done experimentally for reasons other than feasibility,ancient historical precedent exists preferring also mixed support wikipedia perfect numbers,indeed possible seen done experimentally reasons feasibility,0.83,0.84,0.6
"These are interesting studies, but the bottom line is: yes, environment affects cognitive abilities.","I'm not sure what you mean by cognitive capacity, but I absolutely believe that language shapes the way we think.",1.6,these are interesting studies but the bottom line is yes environment affects cognitive abilities,i m not sure what you mean by cognitive capacity but i absolutely believe that language shapes the way we think,interesting studies bottom line yes environment affects cognitive abilities,sure mean cognitive capacity absolutely believe language shapes way think,0.76,0.8,0.71
"Since this is a relatively new problem for behavioral researchers, I don't know that there is a common consensus.","I'll address just the first of your three sub-questions, the others have been answered by Chuck Sherrington.",0.0,since this is a relatively new problem for behavioral researchers i don t know that there is a common consensus,i ll address just the first of your three sub questions the others have been answered by chuck sherrington,since relatively new problem behavioral researchers know common consensus,address first three sub questions others answered chuck sherrington,0.77,0.79,0.54
"If non-human animals do have intelligence too, why is their intelligence not as advanced as humans?",Your own theory is bad because it seems to follow from a Lamarkian interpretation of evolutionary theory.,0.6,if non human animals do have intelligence too why is their intelligence not as advanced as humans,your own theory is bad because it seems to follow from a lamarkian interpretation of evolutionary theory,non human animals intelligence intelligence advanced humans,theory bad seems follow lamarkian interpretation evolutionary theory,0.76,0.77,0.4
The Hare Psychopathy Checklist is often used to assess psychopathy in clinical settings.,From an article entitled Can You Call a 9-Year-Old a Psychopath?,1.8,the hare psychopathy checklist is often used to assess psychopathy in clinical settings,from an article entitled can you call a year old a psychopath,hare psychopathy checklist often used assess psychopathy clinical settings,article entitled call year old psychopath,0.56,0.66,0.42
"I wrap steaks individually in freezer paper, then put them into ziploc freezer bags.",Wrap well in plastic (individually) and then put in a freezer bag.,3.8,i wrap steaks individually in freezer paper then put them into ziploc freezer bags,wrap well in plastic individually and then put in a freezer bag,wrap steaks individually freezer paper put ziploc freezer bags,wrap well plastic individually put freezer bag,0.86,0.89,0.9
"In addition to oil, make sure the grill is nice and hot before you start cooking.","I'd been using paper towels to oil the grill, and I just discovered that newspapers work a lot better.",1.6,in addition to oil make sure the grill is nice and hot before you start cooking,i d been using paper towels to oil the grill and i just discovered that newspapers work a lot better,addition oil make sure grill nice hot start cooking,using paper towels oil grill discovered newspapers work lot better,0.83,0.85,0.7
The best way I have found is to soak the ears in husk for several hours before grilling.,Soak whole ears in the husk in a bowl of water.,3.2,the best way i have found is to soak the ears in husk for several hours before grilling,soak whole ears in the husk in a bowl of water,best way found soak ears husk several hours grilling,soak whole ears husk bowl water,0.78,0.81,0.7
There are actually quite a few differences between the different types of flour.,The difference is the amount of protein contained in the flour which can range from 5% to 15%.,2.6,there are actually quite a few differences between the different types of flour,the difference is the amount of protein contained in the flour which can range from to,actually quite differences different types flour,difference amount protein contained flour range,0.8,0.82,0.62
I've never adjusted the length of time based on number of eggs.,I don't boil eggs enough to keep a feel for the timing...,3.0,i ve never adjusted the length of time based on number of eggs,i don t boil eggs enough to keep a feel for the timing,never adjusted length time based number eggs,boil eggs enough keep feel timing,0.71,0.74,0.58
I just hold the cheese closer to the edge away from the grater.,"By the wording of the question, I'm pretty sure you're using one of those pyramidal graters or a ""sheet"" grater.",1.4,i just hold the cheese closer to the edge away from the grater,by the wording of the question i m pretty sure you re using one of those pyramidal graters or a sheet grater,hold cheese closer edge away grater,wording question pretty sure using one pyramidal graters sheet grater,0.77,0.79,0.52
I've stored pancakes in the freezer for over two month and not had any freezer burn.,Its going to depend on the type of packaging and also the freezer.,1.6,i ve stored pancakes in the freezer for over two month and not had any freezer burn,its going to depend on the type of packaging and also the freezer,stored pancakes freezer two month freezer burn,going depend type packaging also freezer,0.81,0.82,0.55
"Break the bulb into cloves, breaking off the bottom and the dry stick that goes up the middle.",lay down a knife horizontaly on the cloves and hit it.,1.6,break the bulb into cloves breaking off the bottom and the dry stick that goes up the middle,lay down a knife horizontaly on the cloves and hit it,break bulb cloves breaking bottom dry stick goes middle,lay knife horizontaly cloves hit,0.83,0.84,0.66
"I managed to find this recipe, I think this is where I got the idea.","I've only made a couple of bbq sauces, but they've always come out really well.",1.0,i managed to find this recipe i think this is where i got the idea,i ve only made a couple of bbq sauces but they ve always come out really well,managed find recipe think got idea,made couple bbq sauces always come really well,0.78,0.83,0.69
I  believe one cannot taste the difference between minced(canned) and fresh garlic once it is cooked.,"In my experience, fresh garlic is great for when you want texture, or to slow down the flavour infusion.",1.8,i believe one cannot taste the difference between minced canned and fresh garlic once it is cooked,in my experience fresh garlic is great for when you want texture or to slow down the flavour infusion,believe one taste difference minced canned fresh garlic cooked,experience fresh garlic great want texture slow flavour infusion,0.86,0.86,0.77
I grill salmon that I get with the skin on.,Salmon is a great choice and it's readily available pretty much everywhere.,1.8,i grill salmon that i get with the skin on,salmon is a great choice and it s readily available pretty much everywhere,grill salmon get skin,salmon great choice readily available pretty much everywhere,0.67,0.68,0.45
"The recipe I work from has you put the meat in the freezer, then pan sear it.","Starting with a whole chilled piece of meat, I quickly pour boiling water over all the outside surface.",1.4,the recipe i work from has you put the meat in the freezer then pan sear it,starting with a whole chilled piece of meat i quickly pour boiling water over all the outside surface,recipe work put meat freezer pan sear,starting whole chilled piece meat quickly pour boiling water outside surface,0.83,0.85,0.67
"They don't taste identical at all, and even more important, they don't smell the same.",Black pepper and white pepper are differing preparations of the fruit of the Piper nigrum plant.,2.6,they don t taste identical at all and even more important they don t smell the same,black pepper and white pepper are differing preparations of the fruit of the piper nigrum plant,taste identical even important smell,black pepper white pepper differing preparations fruit piper nigrum plant,0.62,0.62,0.39
This depends on the shelf life of the cultivar of tomato you purchased.,"Tomatoes will last longer if kept in the fridge, but I actually recommend against keeping them there.",2.0,this depends on the shelf life of the cultivar of tomato you purchased,tomatoes will last longer if kept in the fridge but i actually recommend against keeping them there,depends shelf life cultivar tomato purchased,tomatoes last longer kept fridge actually recommend keeping,0.72,0.74,0.51
Coagulated egg proteins in combination with gluten give baked goods the supporting structure they need.,There are basically two types of cakes: butter and sponge (or Génoise).,1.0,coagulated egg proteins in combination with gluten give baked goods the supporting structure they need,there are basically two types of cakes butter and sponge or g noise,coagulated egg proteins combination gluten give baked goods supporting structure need,basically two types cakes butter sponge g noise,0.73,0.77,0.64
A common one is haddock and is in season pretty much year round.,"White fish are, as a rule, more delicately flavored than darker fleshed fish.",1.4,a common one is haddock and is in season pretty much year round,white fish are as a rule more delicately flavored than darker fleshed fish,common one haddock season pretty much year round,white fish rule delicately flavored darker fleshed fish,0.67,0.7,0.47
Good cheddar has little chunks of calcium lactate on/in it - could it be that?,"I have two suspicions: One, you're undercooking your roux, the flour and butter mixture, and not fully incorporating the flour.",0.6,good cheddar has little chunks of calcium lactate on in it could it be that,i have two suspicions one you re undercooking your roux the flour and butter mixture and not fully incorporating the flour,good cheddar little chunks calcium lactate could,two suspicions one undercooking roux flour butter mixture fully incorporating flour,0.71,0.79,0.55
"Copper can be useful for certain tasks due to the its metallic properties (heats quickly, distributes heat evenly, etc.","Probably subjective, but ... Good clad stainless steel will give you much better cooking performance per dollar than copper.",1.4,copper can be useful for certain tasks due to the its metallic properties heats quickly distributes heat evenly etc,probably subjective but good clad stainless steel will give you much better cooking performance per dollar than copper,copper useful certain tasks due metallic properties heats quickly distributes heat evenly etc,probably subjective good clad stainless steel give much better cooking performance per dollar copper,0.72,0.75,0.65
"She obviously has a legit excuse, although she could have been more responsible and ""have"" told you in advance.",The first have covers both been more responsible and told you in that sentence.,0.4,she obviously has a legit excuse although she could have been more responsible and have told you in advance,the first have covers both been more responsible and told you in that sentence,obviously legit excuse although could responsible told advance,first covers responsible told sentence,0.91,0.9,0.63
In some cases the implication could even be that Tom does not love her.,There is no implication about Tom whatsoever in such a sentence.,1.8,in some cases the implication could even be that tom does not love her,there is no implication about tom whatsoever in such a sentence,cases implication could even tom love,implication tom whatsoever sentence,0.79,0.83,0.66
I agree with others (and yourself) in that I have never heard this phrase in English.,I have never heard or seen the phrase you mention.,4.0,i agree with others and yourself in that i have never heard this phrase in english,i have never heard or seen the phrase you mention,agree others never heard phrase english,never heard seen phrase mention,0.89,0.89,0.84
"The assertion is false, at least as you've restated it here.","""I had mainly been"" is fine, in the context you're using it.",0.6,the assertion is false at least as you ve restated it here,i had mainly been is fine in the context you re using it,assertion false least restated,mainly fine context using,0.77,0.86,0.37
I'd suggest you look to the constructions of the native language(s) of your students.,"As bikeboy389 said, you can learn a lot by looking at students' native languages.",2.8,i d suggest you look to the constructions of the native language s of your students,as bikeboy said you can learn a lot by looking at students native languages,suggest look constructions native language students,bikeboy said learn lot looking students native languages,0.79,0.81,0.76
"I see some references to status as uncountable as well, but that doesn't make much sense to me.","There are some cases ""status"" may be accounted of countable.",2.6,i see some references to status as uncountable as well but that doesn t make much sense to me,there are some cases status may be accounted of countable,see references status uncountable well make much sense,cases status may accounted countable,0.68,0.76,0.6
"If I understand you correctly, you are looking for a hypernym of inclusion and exclusion.",Inclusion is the act of including and exclusion is the act of excluding.,2.6,if i understand you correctly you are looking for a hypernym of inclusion and exclusion,inclusion is the act of including and exclusion is the act of excluding,understand correctly looking hypernym inclusion exclusion,inclusion act including exclusion act excluding,0.72,0.75,0.63
"Firstly, you should be aware that there are two different kinds of dashes: the en dash and the em dash.","Semicolon is used to join sentences that can stand alone, but are joined to emphasize their relationship.",0.6,firstly you should be aware that there are two different kinds of dashes the en dash and the em dash,semicolon is used to join sentences that can stand alone but are joined to emphasize their relationship,firstly aware two different kinds dashes en dash em dash,semicolon used join sentences stand alone joined emphasize relationship,0.78,0.79,0.45
"Pardon the brevity of this answer, but I would say ""named"" is preferred within the context of your example.","Named is preferred in your example, since you are formally giving a name to your method.",4.4,pardon the brevity of this answer but i would say named is preferred within the context of your example,named is preferred in your example since you are formally giving a name to your method,pardon brevity answer would say named preferred within context example,named preferred example since formally giving name method,0.84,0.87,0.74
"In standard English, I think ""don't got"" has the same register as ""ain't"".",I'd say the expression I don't got... is generally rare in spoken AmE.,2.2,in standard english i think don t got has the same register as ain t,i d say the expression i don t got is generally rare in spoken ame,standard english think got register,say expression got generally rare spoken ame,0.77,0.91,0.66
"The ""more posh"" words are usually Latin (occasionally Greek) in origin.","As Shinto pointed out, vulgar words exist in every language.",1.0,the more posh words are usually latin occasionally greek in origin,as shinto pointed out vulgar words exist in every language,posh words usually latin occasionally greek origin,shinto pointed vulgar words exist every language,0.61,0.74,0.65
"I'm American, and I've never heard the bathroom referred to as St. John's.","In situations like these, I tend to lengthen out the phrase.",0.0,i m american and i ve never heard the bathroom referred to as st john s,in situations like these i tend to lengthen out the phrase,american never heard bathroom referred st john,situations like tend lengthen phrase,0.7,0.72,0.42
The room used for defecation is almost always referred to by euphemism.,"I'm English, and would probably use 'toilet' most of the time, and always in the context of a private home.",1.6,the room used for defecation is almost always referred to by euphemism,i m english and would probably use toilet most of the time and always in the context of a private home,room used defecation almost always referred euphemism,english would probably use toilet time always context private home,0.79,0.82,0.72
I can only think of context using insofar as or insofar that.,The form insofar is American English; the standard form in British and other English is 'in so far'.,1.8,i can only think of context using insofar as or insofar that,the form insofar is american english the standard form in british and other english is in so far,think context using insofar insofar,form insofar american english standard form british english far,0.74,0.79,0.53
"As others have said, ""ten of six"", though not used in many English speaking areas, would be understood as 5:50.","""Ten of six"" probably means 5:50 but I have not heard it before.",3.8,as others have said ten of six though not used in many english speaking areas would be understood as,ten of six probably means but i have not heard it before,others said ten six though used many english speaking areas would understood,ten six probably means heard,0.84,0.88,0.8
"Certainly many usage guides have advised against use of this ""singular they"" on various ""logical"" grounds.","Second one  (for writing purpose), if I believe the ""THEY/THEIR (SINGULAR)"" article.",3.0,certainly many usage guides have advised against use of this singular they on various logical grounds,second one for writing purpose if i believe the they their singular article,certainly many usage guides advised use singular various logical grounds,second one writing purpose believe singular article,0.69,0.82,0.62
"This may be overly obvious, but in American English, saying ""you're welcome"" is certainly polite and standard.","I'm not sure how ""Not at all"" sounds in response to ""thank you"".",1.4,this may be overly obvious but in american english saying you re welcome is certainly polite and standard,i m not sure how not at all sounds in response to thank you,may overly obvious american english saying welcome certainly polite standard,sure sounds response thank,0.73,0.87,0.64
"Back in the day, ""cable"" was used to describe communications sent abroad.","The word ""cable"" has its origins in the days of the telegraph.",3.0,back in the day cable was used to describe communications sent abroad,the word cable has its origins in the days of the telegraph,back day cable used describe communications sent abroad,word cable origins days telegraph,0.74,0.77,0.64
Those expressions could have slightly different meanings especially when talking about finance.,I suspect the phrase originated in the habit of drawing the internet as a cloud shape on network diagrams.,0.4,those expressions could have slightly different meanings especially when talking about finance,i suspect the phrase originated in the habit of drawing the internet as a cloud shape on network diagrams,expressions could slightly different meanings especially talking finance,suspect phrase originated habit drawing internet cloud shape network diagrams,0.64,0.65,0.55
"In the United States, jails are operated by cities and counties (or equivalent).","Jail is a municipal level, prison is on a state/federal/provincial/territory level.",3.6,in the united states jails are operated by cities and counties or equivalent,jail is a municipal level prison is on a state federal provincial territory level,united states jails operated cities counties equivalent,jail municipal level prison state federal provincial territory level,0.59,0.67,0.58
"Yes, your sentence will be clearer if you write the actual word instead of the slash.","Most style guides recommend against using the slash in phrases like “X and/or Y”, as well as  “this is hard/impossible to do”.",3.4,yes your sentence will be clearer if you write the actual word instead of the slash,most style guides recommend against using the slash in phrases like x and or y as well as this is hard impossible to do,yes sentence clearer write actual word instead slash,style guides recommend using slash phrases like x well hard impossible,0.8,0.84,0.65
"If you understand yourself and your enemy, you will be far more likely to win any battle.",Another meaning behind this quote aside from probabilities of winning a theoretical battle is the importance of knowing/understanding others.,2.8,if you understand yourself and your enemy you will be far more likely to win any battle,another meaning behind this quote aside from probabilities of winning a theoretical battle is the importance of knowing understanding others,understand enemy far likely win battle,another meaning behind quote aside probabilities winning theoretical battle importance knowing understanding others,0.66,0.72,0.72
